index,headline,short_description,Model_Predict
669,"['telephon', 'etiquett']","['busi', 'talk', 'phone', 'daili', 'simpli', 'want', 'call', 'neighbor', 'borrow', 'cup', 'sugar', 'guidelin', 'telephon', 'etiquett']",TRAVEL
670,"['kati', 'perri', 'adida', 'ad', 'star', 'singer', 'blue', 'hair', 'photo']","['david', 'beckham', 'star', 'correspond', 'men', 'ad', 'still', 'mayb', 'got', 'pose', 'tip', 'rumor', 'new', 'model', 'boyfriend']",STYLE & BEAUTY
671,"['mark', 'badgley', 'jame', 'mischka', 'marri', 'new', 'york', 'citi']","['want', 'sure', 'check', 'huffpost', 'style', 'twitter', 'facebook', 'tumblr', 'pinterest', 'instagram', 'huffpoststyl']",STYLE & BEAUTY
672,"['nine', 'west', 'attempt', 'rebrand', 'brand', 'actual', 'cool']","['mall', 'shoe', 'standbi', 'tri', 'sex']",BUSINESS
673,"['millenni', 'chang', 'workplac']","['peopl', 'say', 'millenni', 'littler', 'narcissist', 'describ', 'gener', 'other', 'optimist', 'realiz', 'import', 'opportun', 'millenni', 'bring', 'workforc']",BUSINESS
674,"['great', 'place', 'spend', 'christma', 'itali']","['visit', 'itali', 'christma', 'season', 'offer', 'two', 'bonus', 'avoid', 'high', 'summer', 'season', 'tourist', 'crowd', 'get', 'see', 'countri', 'deck', 'holiday', 'fineri']",TRAVEL
675,"['john', 'galliano', 'surfac', 'london', 'rare', 'post', 'scandal', 'appear']","['nearli', 'year', 'public', 'fall', 'grace', 'subsequ', 'hiatu', 'formerli', 'bustl', 'social', 'life', 'former']",BUSINESS
676,"['papa', 'toss', 'pizza', 'chain', 'order', 'new', 'ceo']","['papa', 'john', 'part', 'longtim', 'ceo', 'founder', 'john', 'schnatter']",BUSINESS
677,"['kate', 'hudson', 'friend', 'makeup']","['say', 'know', 'person', 'kate', 'hudson', 'seem', 'like', 'kind', 'girl', 'want', 'hang', 'giggl']",STYLE & BEAUTY
678,"['cortana', 'know', 'disparag', 'siri', 'reflect', 'neg', 'parent']","['good', 'market', 'know', 'compani', 'badmouth', 'competitor', 'often', 'big', 'mistak', 'especi', 'compani', 'disparag', 'appl', 'track', 'record', 'success']",BUSINESS
679,"['countri', 'salari', 'soar']","['next', 'year', 'u', 'wage', 'increas', 'adjust', 'inflat', 'accord', 'eca', 'intern', 'estim']",BUSINESS
680,"['land', 'writer', 'rever']","['begin', 'exist', 'island', 'uninhabit', 'arctic', 'fox', 'sculpt', 'snow', 'ice', 'wind', 'water', 'fire', 'wild', 'windswept', 'land', 'name', 'settler', 'arriv', 'centuri', 'made', 'place', 'home']",TRAVEL
681,"['week', 'delhi']","['spent', 'seven', 'day', 'delhi', 'wonder', 'introduct', 'india', 'start', 'next', 'part', 'journey', 'mumbai', 'want', 'reflect', 'first', 'week', 'eisenhow', 'fellowship']",TRAVEL
682,"['way', 'hawaii', 'absolut', 'ruin', 'life', 'forev']","['eventu', 'final', 'made', 'big', 'move', 'famili', 'friend', 'hate', 'reason']",TRAVEL
683,"['citi', 'worker', 'big', 'curs', 'problem', 'report']","['like', 'swear', 'much', 'esteem', 'treasuri', 'secretari', 'better', 'care', 'survey', 'also', 'found']",BUSINESS
684,"['gorgeou', 'place', 'get', 'back', 'touch', 'natur']","['check', 'favorit', 'unplug', 'haven', 'pick', 'best', 'one', 'time', 'lose', 'cell', 'least', 'weekend']",TRAVEL
685,"['best', 'travel', 'gift', 'photo']","['may', 'abl', 'give', 'gift', 'exot', 'trip', 'special', 'peopl', 'live', 'holiday', 'season', 'help', 'savor', 'travel', 'memori', 'plan', 'futur', 'trip', 'definit', 'budget']",TRAVEL
686,"['kate', 'upton', 'cat', 'daddi', 'danc', 'video', 'ban', 'youtub', 'video', 'poll']","['still', 'sure', 'find', 'sexier', 'stuff', 'youtub', 'model', 'danc', 'bikini', 'right', 'see', 'kate']",STYLE & BEAUTY
687,"['new', 'year', 'resolut', 'get', 'littl', 'help', 'friend']","['new', 'year', 'resolut', 'broken', 'one', 'year', 'resolv', 'learn', 'touch', 'type', 'instead', 'hunt', 'peck', 'key', 'turn', 'hunt', 'peck', 'right', 'anoth', 'year', 'vow', 'take', 'piano', 'lesson', 'make', 'januari', 'time', 'time', 'went', 'alon', 'get', 'busi', 'let', 'go', 'resolut', 'kept', 'two', 'year', 'ago', 'childhood', 'girlfriend', 'new', 'year', 'eve', 'said', 'want', 'keep', 'journal', 'mileston', 'children', 'live', 'one', 'suggest', 'share', 'everi', 'month', 'held', 'account', 'cheer', 'sent', 'entri', 'remind', 'fell', 'behind', 'year', 'later', 'still', 'go', 'strong']",BUSINESS
688,"['equestrian', 'way', 'mind']","['whenev', 'ride', 'adopt', 'bodi', 'soul', 'approach', 'forget', 'rest', 'thing', 'go', 'around', 'experi', 'uniqu', 'hors', 'rider', 'perform', 'adventur', 'mind', 'practic', 'hors', 'present', 'moment']",TRAVEL
689,"['indi', 'travel', 'champion']","['big', 'upset', 'final', 'portug', 'squeak', 'new', 'zealand', 'win', 'inaugur', 'indi', 'travel', 'take', 'tournament']",BUSINESS
690,"['cook', 'cou', 'cou', 'fez']","['sad', 'suspici', 'eye', 'decapit', 'sheep', 'follow', 'us', 'past', 'fishmong', 'stall', 'back', 'kitchen']",BUSINESS
691,"['shailen', 'woodley', 'two', 'beauti', 'look', 'like', 'best', 'poll']","['shailen', 'woodley', 'photo', 'kevin', 'winter', 'getti', 'imag', 'dga', 'frazer', 'harrison', 'getti', 'imag', 'bafta', 'lo', 'angel', 'beauti', 'relat']",STYLE & BEAUTY
693,"['brandenburg', 'gate', 'revit']","['year', 'memori', 'berlin', 'brandenburg', 'gate', 'eeri', 'man', 'land', 'middl', 'berlin', 'wall']",TRAVEL
694,"['hidden', 'gem', 'hotel', 'austin']","['local', 'flavor', 'remain', 'central', 'enjoy', 'factor', 'austin', 'prefer', 'stay', 'close', 'best', 'tuck', 'away', 'well', 'love', 'boutiqu', 'option', 'town']",TRAVEL
695,"['pregnant', 'kim', 'kardashian', 'new', 'year', 'eve', 'sheer', 'dress', 'photo']","['nice', 'matern', 'outfit', 'ms', 'kardashian']",STYLE & BEAUTY
696,"['expert', 'make', 'dream', 'italian', 'vacat', 'happen']","['famili', 'friendli', 'hotel', 'budget', 'rome', 'great', 'valu', 'budget', 'offer', 'includ', 'tuscan', 'countrysid', 'itinerari', 'opt', 'authent', 'bed', 'breakfast', 'make', 'comfort', 'base', 'discov', 'region']",TRAVEL
697,"['play', 'mean', 'around', 'world']","['ask', 'peopl', 'around', 'world', 'show', 'us', 'commun', 'defin', 'play', 'athlet', 'allow']",BUSINESS
698,"['uber', 'vow', 'repay', 'nyc', 'driver', 'ten', 'million', 'tax', 'snafu']","['compani', 'say', 'miscalcul', 'commiss', 'sever', 'year']",BUSINESS
699,"['katharin', 'mcphee', 'two', 'beauti', 'look', 'like', 'best', 'poll']","['locat', 'jane', 'seymour', 'open', 'heart', 'foundat', 'inaugur', 'celebr', 'malibu', 'california', 'februari', 'look', 'take']",STYLE & BEAUTY
700,"['custom', 'experi', 'lesson', 'digit', 'busi', 'pioneer']","['function', 'publish', 'vice', 'presid', 'content', 'kraft', 'sport', 'product', 'includ', 'new', 'england', 'patriot', 'fred', 'kirsch', 'truli', 'technolog', 'innov', 'someon', 'focus', 'digit', 'busi', 'transform']",BUSINESS
701,"['grammi', 'award', 'hair', 'makeup', 'bronz', 'beauti', 'photo']","['roc', 'nation', 'artist', 'continu', 'channel', 'modern', 'day', 'marilyn', 'monro', 'full', 'bodi', 'blond', 'curl', 'bold', 'brow']",STYLE & BEAUTY
702,"['reinvent', 'cadillac', 'dare', 'differ']","['dad', 'loyal', 'cadillac', 'driver', 'consum', 'icon', 'classic', 'brand', 'rememb', 'climb', 'soft', 'plush', 'leather', 'seat', 'plenti', 'room', 'sit', 'back', 'relax', 'enjoy', 'ride']",TRAVEL
703,"['father', 'day', 'huffpost', 'editor', 'tribut', 'stylish', 'dad', 'photo']","['might', 'rememb', 'put', 'togeth', 'massiv', 'slideshow', 'mother', 'great', 'look', 'year', 'mother', 'day']",STYLE & BEAUTY
704,"['find', 'world', 'signific', 'hotel', 'discount', 'photo']","['arab', 'spring', 'protest', 'war', 'libya', 'hit', 'price', 'across', 'middl', 'east', 'north', 'africa', 'rate', 'fall', 'egypt']",TRAVEL
705,"['love', 'letter', 'lancast', 'counti', 'pennsylvania']","['stranger', 'ask', 'heritag', 'might', 'repli', 'amalgam', 'pennsylvania', 'dutch', 'puritan', 'restraint', 'irish', 'cathol', 'exuber', 'product', 'farmer', 'coal', 'miner', 'anoth', 'way', 'say', 'come', 'lancast', 'counti']",TRAVEL
706,"['harvard', 'speech']","['media', 'numer', 'today', 'convey', 'imag', 'thin', 'woman', 'best', 'imposs', 'fight', 'widespread', 'idea', 'thin', 'everybodi', 'must', 'part']",BUSINESS
707,"['david', 'cameron', 'vacat', 'featur', 'laid', 'back', 'style', 'wife', 'samantha', 'photo']","['see', 'samcam', 'awesom', 'fashion', 'want', 'sure', 'check', 'huffpost', 'style', 'twitter', 'facebook', 'tumblr', 'pinterest']",STYLE & BEAUTY
708,"['low', 'fashion', 'week']","['sure', 'nyfw', 'token', 'snob', 'elitist', 'upper', 'east', 'sider', 'import', 'businesspeopl', 'editor', 'chief', 'blogger', 'columnist', 'pr', 'personnel', 'photograph']",STYLE & BEAUTY
709,"['abandon', 'believ', 'haunt', 'nasa', 'launch', 'site', 'actual', 'visit']","['launch', 'complex', 'decommiss', 'launch', 'site', 'cape', 'canaver', 'believ', 'haunt', 'ghost', 'three', 'astronaut', 'tragic', 'die', 'januari', 'day', 'nasa', 'employe', 'claim', 'hear', 'scream', 'overal', 'dark', 'feel', 'near', 'pad']",TRAVEL
712,"['use', 'placenta', 'hair', 'great']","['concoct', 'consist', 'almond', 'oil', 'tomato', 'juic', 'placenta', 'ye', 'placenta', 'like', 'afterbirth']",STYLE & BEAUTY
713,"['lynda', 'carter', 'pictur', 'show', 'wonder', 'woman', 'actress', 'still', 'hot', 'photo']","['although', 'success', 'music', 'career', 'miss', 'world', 'usa', 'lynda', 'carter', 'best', 'known', 'play']",STYLE & BEAUTY
715,"['gap', 'fall', 'ad', 'featur', 'avett', 'brother', 'icon', 'redefin', 'video']","['want', 'sure', 'check', 'huffpost', 'style', 'twitter', 'facebook', 'tumblr', 'pinterest', 'gap', 'latest', 'approach', 'indi', 'singer']",STYLE & BEAUTY
716,"['armani', 'reveal', 'shock', 'part', 'fall', 'collect', 'video']","['eve', 'fashion', 'show', 'giorgio', 'armani', 'reveal', 'us', 'one', 'import', 'detail', 'new', 'collect', 'particular']",STYLE & BEAUTY
717,"['jennif', 'lopez', 'short', 'hair', 'real', 'fake', 'photo', 'poll']","['either', 'way', 'hope', 'short', 'hair', 'stay', 'kinda', 'love', 'unfortun', 'might', 'eye', 'deceiv']",STYLE & BEAUTY
718,"['hedg', 'fund', 'game']","['greater', 'exampl', 'irration', 'investor', 'world', 'hedg', 'fund', 'spite', 'histor', 'poor', 'return', 'invest', 'money', 'continu', 'pour', 'hedg', 'fund']",BUSINESS
719,"['tip', 'book', 'flight', 'europ', 'budget', 'airlin']","['cost', 'much', 'fli', 'london', 'berlin', 'search', 'flight', 'mid', 'octob', 'found', 'incred', 'would', 'say', 'suspici', 'cheap', 'offer', 'catch']",TRAVEL
720,"['ask', 'airfarewatchdog', 'air', 'travel', 'question', 'answer']","['wonder', 'reassign', 'economi', 'seat', 'miss', 'plane', 'ridicul', 'long', 'secur', 'line', 'differ', 'rule', 'go', 'secur', 'connect', 'flight']",BUSINESS
721,"['earli', 'uber', 'investor', 'call', 'compani', 'chang', 'destruct', 'cultur']","['uber', 'countless', 'opportun', 'right', 'thing']",BUSINESS
722,"['weekli', 'travel', 'zen', 'vancouv']","['mountain', 'park', 'cultur', 'pack', 'citi', 'vancouv', 'someth', 'everybodi', 'whether', 'yearn']",TRAVEL
723,"['taiwan', 'rainbow', 'bridg', 'light', 'night']","['ever', 'dreamt', 'walk', 'rainbow', 'chanc', 'day', 'xiy', 'rainbow', 'bridg', 'penghu', 'taiwan']",TRAVEL
724,"['eva', 'air', 'hello', 'kitti', 'plane', 'photo']","['photo', 'courtesi', 'eva', 'air', 'eva', 'air', 'hello', 'kitti', 'theme', 'jet', 'sinc', 'debut', 'three', 'new', 'jet']",TRAVEL
725,"['budget', 'way', 'still', 'travel', 'world']","['world', 'becom', 'access', 'airlin', 'accommod', 'everyth', 'avail', 'budget', 'friendli', 'price', 'sort', 'drove', 'inform', 'go', 'lot', 'lot', 'less', 'collect', 'redeem', 'mile', 'watch', 'seat', 'sale', 'open', 'mind', 'idea', 'option', 'help', 'travel', 'budget']",TRAVEL
726,"['berkshir', 'hathaway', 'buy', 'precis', 'castpart', 'billion']","['sagarika', 'jaisinghani', 'sweta', 'singh', 'aug', 'reuter', 'warren', 'buffett', 'berkshir', 'hathaway', 'inc', 'said', 'would', 'buy', 'aerospac']",BUSINESS
727,"['kardashian', 'makeup', 'line', 'khroma', 'beauti', 'becom', 'kardashian', 'beauti']","['thing', 'chang', 'thing', 'like', 'famili', 'kim', 'tast', 'tight', 'cloth', 'never', 'chang']",STYLE & BEAUTY
728,"['travel', 'writer', 'bad', 'day']","['tend', 'favorit', 'topic', 'convers', 'parti', 'get', 'togeth', 'like', 'think', 'sparkl', 'person', 'realli', 'job', 'lure', 'crowd', 'travel', 'writer']",TRAVEL
729,"['wait', 'end', 'alaska']","['also', 'ride', 'nearbi', 'nenana', 'river', 'rapid', 'tour', 'oper', 'like', 'denali', 'outdoor', 'center', 'exhilar']",TRAVEL
730,"['tax', 'tip', 'dad']","['happi', 'father', 'day', 'dad', 'whether', 'crawl', 'floor', 'new', 'babi', 'walk', 'real', 'world', 'colleg', 'graduat', 'pointer', 'save', 'money', 'come', 'tax', 'time']",TRAVEL
731,"['merit', 'cigar']","['return', 'montreal', 'thank', 'jewish', 'book', 'council', 'montreal', 'public', 'librari', 'spoke', 'group', 'around', 'member', 'whose', 'mani', 'intellig', 'question', 'kept', 'even', 'live', 'auditorium', 'buzz']",BUSINESS
732,"['unexpect', 'budapest', 'highlight', 'photo']","['pest', 'eastern', 'bank', 'danub', 'citi', 'life', 'action', 'found']",TRAVEL
733,"['genet', 'test', 'adher', 'medic', 'busi', 'ethic', 'fda', 'regul', 'welcom', 'move', 'consum']","['public', 'health', 'patient', 'protect', 'come', 'compani', 'profit', 'week', 'fda', 'taken', 'welcom', 'stand', 'protect', 'public', 'health', 'insist', 'clearli', 'medic', 'servic', 'regul']",BUSINESS
734,"['keratin', 'made', 'hair', 'fall', 'cautionari', 'tale', 'photo']","['hair', 'horror', 'start', 'lone', 'pr', 'email', 'float', 'way', 'inbox', 'would', 'like', 'get', 'free', 'keratin', 'treatment']",STYLE & BEAUTY
735,"['cheap', 'celeb', 'find', 'give', 'us', 'reason', 'go', 'shop', 'weekend']","['holiday', 'may', 'mean', 'time', 'stop', 'shop', 'fact', 'find', 'best', 'deal']",TRAVEL
736,"['pussi', 'riot', 'putin', 'russian', 'think', 'romney', 'bark', 'wrong', 'era']","['one', 'thing', 'learn', 'foreign', 'countri', 'spi', 'movi', 'outdat', 'cold', 'war', 'propaganda', 'sound', 'bite', 'whole', 'differ', 'educ', 'look', 'foreign', 'eye', 'listen', 'realli', 'think']",BUSINESS
737,"['gift', 'idea', 'makeup', 'hoard', 'friend']","['instead', 'look', 'latest', 'beauti', 'product', 'come', 'packag', 'simpler', 'set', 'like', 'gorgeou', 'nail', 'polish', 'lipstick']",STYLE & BEAUTY
738,"['vega', 'mind', 'blowingli', 'expens', 'hotel', 'suit']","['suit', 'remot', 'control', 'toilet', 'squar', 'foot', 'duplex', 'price', 'upon', 'request', 'expens', 'suit', 'la', 'vega', 'top', 'hotel']",TRAVEL
739,"['gerard', 'depardieu', 'actor', 'receiv', 'russian', 'resid', 'stamp', 'quest', 'avoid', 'high', 'french', 'tax']","['locat', 'river', 'volga', 'km', 'mile', 'east', 'moscow', 'saransk', 'capit', 'mordovia', 'republ', 'central']",TRAVEL
741,"['like', 'goldilock', 'hotel']","['small', 'find', 'amen', 'servic', 'make', 'life', 'road', 'bearabl', 'larg', 'bustl', 'may', 'find', 'stay', 'unpleas', 'call', 'right', 'size', 'properti', 'goldilock', 'hotel']",TRAVEL
742,"['presid', 'day', 'travel', 'visit', 'home', 'america', 'first', 'presid', 'photo']","['presid', 'day', 'first', 'establish', 'nation', 'honor', 'georg', 'washington', 'celebr', 'washington']",BUSINESS
743,"['open', 'letter', 'egyptian', 'presid', 'moham', 'morsi']","['protest', 'christian', 'burden', 'bear', 'life', 'call', 'protest', 'work', 'ethic', 'wonder', 'capit', 'citi', 'work', 'ethic', 'drive', 'make', 'suggest']",BUSINESS
744,"['reason', 'millenni', 'trust', 'financi', 'planner']","['millenni', 'would', 'excel', 'candid', 'financi', 'plan', 'servic', 'never', 'take', 'advantag', 'understand', 'entail', 'benefit', 'hire', 'financi', 'profession', 'even', 'type', 'profession', 'need']",BUSINESS
745,"['abandon', 'america', 'matthew', 'christoph', 'photograph', 'derelict', 'spot', 'across', 'countri', 'photo']","['check', 'haunt', 'imag', 'former', 'church', 'elderli', 'care', 'center', 'jail', 'christoph', 'focus']",STYLE & BEAUTY
746,"['miss', 'univers', 'canada', 'typo', 'award', 'crown', 'wrong', 'contest']","['finalist', 'inde', 'honesti', 'alway', 'best', 'polici', 'first', 'time', 'pageant', 'made', 'signific']",STYLE & BEAUTY
747,"['pension', 'fund', 'tell', 'exxon', 'tell', 'truth', 'climat', 'chang']","['sharehold', 'think', 'compani', 'say', 'enough', 'risk', 'face']",BUSINESS
748,"['best', 'world', 'heritag', 'site', 'chosen', 'nation', 'geograph']","['last', 'time', 'check', 'unesco', 'world', 'heritag', 'list', 'unit', 'nation', 'educ', 'scientif', 'cultur', 'organ']",TRAVEL
750,"['kate', 'middleton', 'best', 'dress', 'pregnant', 'ladi', 'vaniti', 'fair', 'say']","['said', 'better', 'kate', 'led', 'pregnant', 'pack', 'seri', 'stylish', 'coat', 'pattern', 'tight']",STYLE & BEAUTY
751,"['fantast', 'faro', 'island']","['take', 'long', 'imag', 'stay', 'season', 'walk', 'koltur', 'huge', 'overbear', 'hill', 'along', 'froth', 'swell', 'coastlin', 'day', 'romant', 'dream', 'guess', 'rememb', 'brought', 'first', 'place']",TRAVEL
752,"['tom', 'ford', 'coke', 'tabl', 'common', 'among', 'earli', 'custom']","['design', 'legendari', 'career', 'peak', 'line', 'stay', 'humbl', 'press', 'tom', 'ford']",BUSINESS
753,"['fcc', 'petit', 'investig', 'complaint', 'time', 'warner', 'cabl', 'comcast']","['public', 'interest', 'tarnish', 'stain', 'harm', 'time', 'cours', 'correct', 'oversight', 'accur', 'data', 'investig', 'enforc', 'law', 'time', 'evalu', 'public', 'polici', 'govern', 'commun', 'servic', 'america', 'fix', 'broken', 'final']",BUSINESS
754,"['hawaii', 'youngest', 'surfer', 'blow', 'mind']","['brisa', 'henessey', 'year', 'old', 'surf', 'oahu', 'north', 'shore', 'fame', 'winter', 'season', 'difficult', 'feat', 'surfer']",TRAVEL
755,"['decid', 'becom', 'model']","['found', 'one', 'place', 'would', 'make', 'think', 'twice', 'becom', 'model', 'cours', 'foot', 'taller', 'coordin', 'enough', 'stomp', 'runway', 'monster', 'heel', 'modelloung', 'x', 'microsoft']",STYLE & BEAUTY
756,"['courtney', 'love', 'cloth', 'line', 'never', 'bride', 'surfac', 'twitter', 'photo']","['pretti', 'um', 'interest']",STYLE & BEAUTY
757,"['nuh', 'linga', 'get', 'jamaica']","['stay', 'probabl', 'stay', 'hous', 'enterpris', 'jamaican', 'open', 'vacation', 'success', 'live', 'paradis', 'everi', 'home', 'vacat', 'home']",TRAVEL
758,"['countri', 'children', 'best', 'opportun', 'wall', 'st']","['america', 'realli', 'land', 'opportun', 'accord', 'data', 'releas', 'gallup', 'american', 'believ', 'children']",BUSINESS
759,"['jc', 'chasez', 'style', 'evolut', 'gell', 'hair', 'denim', 'denim', 'boy', 'band', 'fashion', 'photo']","['prime', 'career', 'n', 'syncer', 'chasez', 'sport', 'patchwork', 'denim', 'color', 'leather', 'pant', 'frost', 'tip']",STYLE & BEAUTY
760,"['america', 'best', 'coastal', 'road', 'trip', 'accord', 'coastal', 'live', 'magazin', 'photo']","['friend', 'coastal', 'live', 'magazin', 'publish', 'hot', 'list', 'includ', 'go', 'year', 'five']",TRAVEL
761,"['way', 'stay', 'jamaica', 'photo']","['found', 'spot', 'stay', 'almost', 'everi', 'kind', 'travel', 'whether', 'plan', 'romant', 'getaway', 'want', 'take', 'kid', 'along', 'oyster', 'hotel']",TRAVEL
762,"['kim', 'kardashian', 'say', 'dress', 'kany', 'west']","['read', 'us', 'weekli', 'want', 'sure', 'check', 'huffpost', 'style', 'twitter', 'facebook', 'tumblr', 'pinterest', 'instagram']",STYLE & BEAUTY
763,"['take', 'presid', 'day', 'valentin', 'day', 'getaway', 'photo']","['year', 'valentin', 'day', 'fall', 'thursday', 'coincid', 'presid', 'day', 'weekend', 'present', 'would', 'romant', 'ideal', 'opportun', 'indulg', 'extend', 'valentin', 'day', 'celebr']",TRAVEL
764,"['alcohol', 'vacat', 'american', 'inclin', 'give', 'booz', 'social', 'media', 'studi']","['word', 'vacat', 'make', 'think', 'loung', 'beach', 'surround', 'small', 'armi', 'frozen', 'cocktail', 'think']",TRAVEL
765,"['andr', 'leon', 'talley', 'melissa', 'mccarthi', 'chat', 'super', 'size', 'style', 'video']","['either', 'way', 'stumbl', 'highlight', 'issu', 'span', 'fashion', 'industri', 'beyond', 'talk', 'larger', 'averag']",STYLE & BEAUTY
766,"['week', 'beauti', 'best', 'worst', 'april', 'photo']","['spend', 'lot', 'time', 'focus', 'star', 'wear', 'put', 'face', 'although', 'makeup', 'may', 'seem']",STYLE & BEAUTY
767,"['baggag', 'delay', 'entitl', 'toothbrush', 'pocket', 'chang']","['happen', 'hundr', 'airlin', 'passeng', 'everi', 'day', 'arriv', 'destin', 'far', 'home', 'bag']",TRAVEL
768,"['amanda', 'byne', 'drake', 'man', 'repel', 'plane', 'tweet', 'week']","['favorit', 'tweet', 'week']",STYLE & BEAUTY
769,"['around', 'pizza', 'offer', 'percent', 'discount', 'gun', 'owner', 'virginia', 'beach', 'video']","['got', 'gun', 'around', 'pizza', 'deli', 'take', 'percent', 'order', 'local', 'news', 'outlet', 'wtkr', 'newschannel', 'report']",BUSINESS
770,"['reason', 'visit', 'colombia', 'photo']","['countless', 'reason', 'visit', 'colombia', 'get', 'start', 'discov', 'sometim', 'misunderstood', 'countri']",TRAVEL
771,"['cold', 'wet', 'dirti', 'bore', 'rough', 'good']","['know', 'famili', 'struggl', 'manag', 'screen', 'time', 'find', 'meaning', 'way', 'connect', 'genuin', 'enjoy', 'weekend', 'wood', 'realiz', 'camp', 'reason', 'abl', 'disconnect', 'therebi', 'reconnect', 'easili']",BUSINESS
772,"['wing', 'prayer', 'world', 'safest', 'airlin']","['airlin', 'accid', 'free', 'everi', 'singl', 'one', 'someth', 'go', 'wrong', 'one', 'point', 'even', 'flat', 'tire', 'nevertheless', 'sever', 'airlin', 'particularli', 'sterl', 'reput', 'come', 'safeti']",TRAVEL
773,"['emerg', 'market', 'hous', 'bubbl']","['advanc', 'economi', 'hous', 'price', 'contract', 'prolong', 'period', 'crisi', 'emerg', 'market', 'hous', 'price', 'suffer', 'brief', 'declin', 'recov', 'quickli', 'kept', 'rise', 'sinc']",BUSINESS
774,"['car', 'compani', 'combat', 'text', 'drive']","['text', 'behind', 'wheel', 'deadli', 'expert', 'think', 'peopl', 'probabl', 'stop', 'car', 'compani', 'step', 'help']",BUSINESS
775,"['bottom', 'sight', 'u', 'ga', 'price', 'survey']","['end', 'month', 'long', 'slide', 'ga', 'price', 'may', 'near']",BUSINESS
776,"['rais', 'minimum', 'wage', 'hurt', 'employ', 'evid', 'china']","['rais', 'minimum', 'wage', 'polar', 'issu', 'one', 'side', 'worri', 'rais', 'lower', 'employ', 'side', 'downplay', 'impact', 'employ', 'play', 'posit', 'impact', 'live', 'standard', 'poor']",BUSINESS
777,"['ikea', 'bag', 'dress', 'massiv', 'need', 'good', 'steam', 'photo']","['want', 'sure', 'check', 'huffpost', 'style', 'twitter', 'facebook', 'tumblr', 'pinterest', 'ikea', 'bag', 'dress', 'construct']",STYLE & BEAUTY
778,"['stress', 'less', 'travel', 'lesson']","['one', 'rule', 'come', 'back', 'flexibl', 'enough', 'appli', 'almost', 'travel', 'quandari']",BUSINESS
779,"['mortgag', 'settlement', 'realli', 'whose', 'benefit']","['settlement', 'involv', 'mortgag', 'foreclosur', 'practic', 'suppos', 'good', 'news', 'countri', 'must', 'miss', 'someth', 'thinli', 'disguis', 'attempt', 'buy', 'vote', 'bank', 'money', 'incumb', 'politician']",BUSINESS
780,"['luxuri', 'without', 'electr', 'yoga', 'retreat', 'sri', 'lankan', 'jungl']","['like', 'retreat', 'absolut', 'cut', 'urban', 'lifestyl', 'begin', 'electr', 'kerosen', 'lantern', 'line', 'maze', 'swept', 'red', 'earth', 'path', 'forest']",TRAVEL
781,"['pay', 'attent', 'flyover', 'state']","['road', 'trip', 'season']",TRAVEL
782,"['pixi', 'haircut', 'make', 'us', 'want', 'chop', 'hair', 'photo']","['noth', 'enhanc', 'beauti', 'bone', 'structur', 'cute', 'short', 'haircut', 'accord', 'celebr', 'hairstylist', 'sascha', 'breuer']",STYLE & BEAUTY
783,"['myanmar', 'forgotten', 'peopl', 'travel', 'chin', 'state']","['ethnic', 'chin', 'peopl', 'tribe', 'whose', 'older', 'women', 'still', 'wear', 'tradit', 'facial', 'tattoo', 'number', 'approxim', 'million', 'spread', 'myanmar', 'neighbour', 'india']",BUSINESS
785,"['discord', 'jpmorgan', 'invest', 'offic', 'blame', 'huge', 'loss']","['ever', 'sinc', 'jpmorgan', 'chase', 'disclos', 'multibillion', 'dollar', 'trade', 'loss', 'month', 'central', 'mysteri', 'bank']",BUSINESS
786,"['day', 'spa', 'deal', 'breaker', 'thing', 'gross', 'us', 'photo']","['mani', 'esthetician', 'singl', 'treatment', 'unsanitari', 'make', 'tip', 'quit', 'complic', 'stain']",STYLE & BEAUTY
787,"['great', 'salespeopl', 'fail']","['sale', 'result', 'two', 'thing', 'sale', 'perform', 'sale', 'product', 'order', 'us', 'get', 'perform', 'right', 'win', 'product', 'amount', 'win', 'meet', 'plan', 'start', 'hire', 'right', 'peopl']",BUSINESS
788,"['kobe', 'luminari', 'illumin', 'japan', 'festiv']","['christma', 'light', 'hung', 'around', 'world', 'display', 'rival', 'stun', 'light', 'show', 'kobe', 'luminari', 'decemb']",TRAVEL
789,"['kati', 'perri', 'tri', 'glitteri', 'cape', 'gown', 'unicef', 'ball', 'yay', 'nay', 'photo', 'poll']","['singer', 'pull', 'gwyneth', 'glitter']",STYLE & BEAUTY
790,"['reinvent', 'america', 'forb', 'summit', 'chicago', 'part', 'ii']","['small', 'invit', 'congress', 'bring', 'togeth', 'wealth', 'polit', 'busi', 'govern', 'well', 'educ', 'disrupt', 'innov', 'win', 'formula', 'stimul', 'growth', 'forg', 'new', 'partnership', 'case', 'reinvent', 'industri', 'power']",BUSINESS
791,"['practic', 'guid', 'plan', 'execut', 'right', 'erp', 'implement']","['choos', 'erp', 'solut', 'busi', 'take', 'time', 'avoid', 'end', 'inadequ', 'system', 'stand', 'need', 'sure', 'involv', 'stakehold', 'decis', 'make', 'process']",BUSINESS
792,"['top', 'european', 'celebr', 'getaway', 'photo']","['top', 'hotel', 'welcom', 'score', 'celebr', 'guest', 'also', 'receiv', 'excel', 'review', 'travel']",TRAVEL
